Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Art Williams,31,BOS,PG,74,,15.4,2.0,4.5,.455,0.8,1.1,.723,2.8,3.1,2.5,4.9,
Fred Hetzel,28,LAL,SF,59,,10.4,1.9,4.3,.434,1.0,1.3,.779,2.5,0.6,1.7,4.8,
Jim King,29,CHI,PG,55,,11.7,1.8,4.1,.439,1.2,1.4,.810,1.2,1.4,1.0,4.8,
Mike Riordan,25,NYK,SF,82,,16.1,2.0,4.7,.418,0.8,1.3,.620,2.1,1.5,1.8,4.8,
Phil Jackson,25,NYK,PF,71,,10.9,1.7,3.7,.449,1.3,1.9,.714,3.4,0.4,2.4,4.7,
John Wetzel,26,PHO,SG,70,,15.6,1.8,4.1,.431,1.2,1.4,.822,2.2,1.6,2.2,4.7,
Johnny Baum,24,CHI,SF,62,,8.8,2.0,4.7,.420,0.6,0.9,.690,2.0,0.5,0.9,4.6,
Paul Long,26,BUF,SG,30,,7.1,1.9,4.0,.475,0.7,0.8,.833,1.0,0.8,0.8,4.5,
Joe Cooke,22,CLE,SG,73,,9.9,1.8,4.7,.393,0.7,0.8,.814,1.6,1.3,1.8,4.3,
Tom Black,29,2TM,C,71,,12.3,1.7,4.2,.402,0.8,1.2,.648,3.6,0.6,1.9,4.2,
Ron Knight,23,POR,PF,52,,12.7,1.9,4.4,.430,0.4,0.7,.500,3.2,1.0,1.9,4.2,
Al Tucker,27,BAL,PF,31,,8.9,1.7,3.7,.452,0.8,1.0,.806,2.4,0.2,1.1,4.2,
Jimmy Collins,24,CHI,SG,55,,8.7,1.7,3.9,.430,0.6,0.8,.778,1.0,1.1,0.8,4.0,
Bill Stricker,23,POR,,1,,2.0,2.0,3.0,.667,0.0,0.0,,0.0,0.0,1.0,4.0,
Greg Howard,23,PHO,PF,44,,9.7,1.5,3.9,.393,0.8,1.3,.638,2.7,0.6,1.5,3.9,
George Johnson,23,BAL,C,24,,14.0,1.7,4.2,.410,0.5,1.3,.367,4.8,0.4,2.6,3.9,
Levi Fontaine,22,SFW,SG,35,,6.0,1.5,4.1,.366,0.8,1.1,.757,0.4,0.6,0.8,3.8,
John Vallely,22,ATL,SG,51,,8.4,1.4,4.0,.358,0.9,1.2,.763,0.7,0.9,1.0,3.7,
Bill Turner,26,SFW,SF,18,,11.1,1.4,4.6,.317,0.7,1.1,.650,2.3,0.4,1.3,3.6,
Jim Barnes,29,BAL,PF,11,,9.1,1.4,2.5,.536,0.6,1.0,.636,1.5,0.7,2.1,3.4,
Toby Kimball,28,SDR,PF,80,,13.8,1.4,3.6,.387,0.6,1.4,.472,5.1,0.8,1.6,3.4,
Rex Morgan,22,BOS,SG,34,,7.8,1.2,3.0,.402,1.0,1.6,.648,1.8,0.6,1.7,3.4,
Paul Ruffner,22,CHI,C,10,,6.0,1.5,3.5,.429,0.4,0.8,.500,1.6,0.2,1.0,3.4,
Dorie Murrey,27,2TM,PF,71,,10.1,1.1,2.5,.438,1.1,1.6,.670,3.1,0.5,2.1,3.3,
Gary Freeman,22,2TM,SF,52,,7.3,1.3,2.6,.515,0.6,0.8,.725,2.0,0.7,1.3,3.2,
Cliff Anderson,26,2TM,SG,28,0,7.1,0.7,2.3,.308,1.6,2.4,.687,1.7,0.7,1.0,3.1,
Nate Bowman,27,BUF,C,44,,11.0,1.3,3.4,.392,0.5,0.9,.526,3.9,0.9,2.1,3.1,
Larry Mikan,22,CLE,SF,53,,10.1,1.2,3.5,.333,0.6,1.0,.618,2.6,0.8,1.1,3.0,
